benchmark,subject,revs,its,mem_peak,best,mean,mode,worst,stdev,rstdev
DeleteBenchmark,benchQueryBuilderIndividual,5,5,32902184,231549.4,233487.68,232118.21996086,239002.4,2804.5522383439,1.2011564114834
DeleteBenchmark,benchConditionalDelete,5,5,39759504,37127.6,38109.64,38364.22818004,38600.6,523.50170811565,1.3736726668519
DeleteBenchmark,benchMultiConditionDelete,5,5,42910056,33846,34856.12,35203.025440313,35606,657.20535116507,1.8854805158034
DeleteBenchmark,benchRawDelete,5,5,42647400,31068.8,31294.44,31148.229745597,31674.6,235.19011543855,0.75153961994064
DeleteBenchmark,benchDeleteOldRecords,50,5,122094160,50659.14,52088.104,52888.773268103,53384.84,1168.679156614,2.2436584687628
DeleteBenchmark,benchTruncate,50,5,63041928,38497.16,38987.688,39154.871545988,39524.96,389.90749068978,1.0000785137343
DeleteBenchmark,benchDeleteWithSubquery,50,5,77836648,75731.52,76988.472,76488.042739725,79122.6,1155.9289595196,1.5014312266382
QueryBenchmark,benchSimpleSelect,1000,5,31030136,4382.189,4433.6834,4412.4446829746,4509.963,44.732441500996,1.0089227729024
QueryBenchmark,benchSelectWithLimit,1000,5,31030136,178.224,181.8738,180.79986497065,186.941,2.9149457902335,1.6027299095491
QueryBenchmark,benchSelectSpecificColumns,1000,5,31030144,146.744,148.774,147.7203444227,151.941,1.90479846703,1.280330210272
QueryBenchmark,benchChunkedQuery,100,5,31030136,5660.89,5729.812,5735.4067123289,5794.03,43.721542241783,0.7630536960337
QueryBenchmark,benchLazyQuery,100,5,31030128,6892.51,6999.506,6957.7145009785,7114.64,83.834035713426,1.1977136059806
QueryBenchmark,benchCountQuery,1000,5,31030128,708.461,722.9418,726.70000000001,739.632,11.563008663838,1.5994383868575
QueryBenchmark,benchAggregateQuery,1000,5,31030136,848.09,864.764,873.82327201567,875.147,12.246478987856,1.4161642931315
QueryBenchmark,benchRawQuery,1000,5,31030128,116.832,118.6474,117.88964579256,121.883,1.7973002642853,1.5148248206748
InsertBenchmark,benchEloquentInsertIndividual,10,5,20905384,235238,242314.86,244120.96399217,246071.4,3915.235785288,1.6157637980964
InsertBenchmark,benchDbFacadeInsertIndividual,10,5,20436328,248447.1,252136.04,250216.40136986,258492.8,3631.2787007334,1.4402061286968
InsertBenchmark,benchDbFacadeBulkInsert,10,5,21204720,7619.7,7726.46,7668.6463796477,7948.8,118.25881108822,1.530569123353
InsertBenchmark,benchDbFacadeChunkedInsert,10,5,20607696,26995.2,27756.16,27738.039138943,28550.9,506.33988821739,1.8242432966858
UpdateBenchmark,benchQueryBuilderIndividual,10,5,23976880,186289.3,189027.54,189690.51800391,190398.1,1449.1117894766,0.76661410791072
UpdateBenchmark,benchEloquentIndividual,10,5,23976872,10905,11231.62,11310.142661448,11399.1,178.12780131131,1.5859493226383
UpdateBenchmark,benchBulkUpdateWhereIn,10,5,23976872,218.2,221.28,220.66497064579,224.9,2.3068593368474,1.0425069309686
UpdateBenchmark,benchConditionalUpdate,10,5,23976872,1831.6,1876.94,1872.1385518591,1928.4,31.332896450855,1.6693605789666
UpdateBenchmark,benchIncrementUpdate,100,5,23976872,183020.47,186032.598,184836.85522505,190691.32,2672.8462228823,1.436762294145
UpdateBenchmark,benchBulkIncrement,10,5,23976872,2145.2,2179.06,2190.1101761253,2204.5,21.77040192555,0.99907308314366
UpdateBenchmark,benchUpsert,10,5,23976352,2631.4,2671.76,2680.8297455969,2696,22.174363575986,0.82995342306141
UpdateBenchmark,benchChunkedUpdate,50,5,23976872,27458.68,27912.456,28156.511702544,28240.68,334.68936843587,1.1990681451889
